Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Iceland,2007,Carbapenems,26,0,0,26,100.0 %,0.0 %,0.0 %
Iceland,2008,Carbapenems,24,0,0,24,100.0 %,0.0 %,0.0 %
Iceland,2009,Carbapenems,26,0,0,26,100.0 %,0.0 %,0.0 %
Iceland,2010,Carbapenems,13,0,0,13,100.0 %,0.0 %,0.0 %
Ireland,2005,Carbapenems,26,0,0,26,100.0 %,0.0 %,0.0 %
Ireland,2006,Carbapenems,147,0,0,147,100.0 %,0.0 %,0.0 %
Ireland,2007,Carbapenems,173,1,0,174,99.4 %,0.6 %,0.0 %
Ireland,2008,Carbapenems,230,0,0,230,100.0 %,0.0 %,0.0 %
Ireland,2009,Carbapenems,253,0,0,253,100.0 %,0.0 %,0.0 %
Ireland,2010,Carbapenems,301,0,0,301,100.0 %,0.0 %,0.0 %
Ireland,2011,Carbapenems,299,2,1,302,99.0 %,0.7 %,0.3 %
Ireland,2012,Carbapenems,338,0,0,338,100.0 %,0.0 %,0.0 %
Ireland,2013,Carbapenems,315,1,1,317,99.4 %,0.3 %,0.3 %
Italy,2006,Carbapenems,299,2,4,305,98.0 %,0.7 %,1.3 %
Italy,2007,Carbapenems,354,2,4,360,98.3 %,0.6 %,1.1 %
Italy,2008,Carbapenems,300,3,6,309,97.1 %,1.0 %,1.9 %
Italy,2009,Carbapenems,300,0,4,304,98.7 %,0.0 %,1.3 %
Italy,2010,Carbapenems,615,5,111,731,84.1 %,0.7 %,15.2 %
Italy,2011,Carbapenems,433,18,164,615,70.4 %,2.9 %,26.7 %
Italy,2012,Carbapenems,580,19,246,845,68.6 %,2.2 %,29.1 %
Italy,2013,Carbapenems,930,24,499,1453,64.0 %,1.7 %,34.3 %
Latvia,2006,Carbapenems,26,0,0,26,100.0 %,0.0 %,0.0 %
Latvia,2007,Carbapenems,27,0,0,27,100.0 %,0.0 %,0.0 %
Latvia,2008,Carbapenems,39,0,1,40,97.5 %,0.0 %,2.5 %
Latvia,2009,Carbapenems,44,0,0,44,100.0 %,0.0 %,0.0 %
Latvia,2010,Carbapenems,62,1,0,63,98.4 %,1.6 %,0.0 %
Latvia,2011,Carbapenems,65,0,0,65,100.0 %,0.0 %,0.0 %
Latvia,2012,Carbapenems,77,0,0,77,100.0 %,0.0 %,0.0 %
Latvia,2013,Carbapenems,92,0,0,92,100.0 %,0.0 %,0.0 %
Lithuania,2006,Carbapenems,32,0,0,32,100.0 %,0.0 %,0.0 %
Lithuania,2007,Carbapenems,41,0,0,41,100.0 %,0.0 %,0.0 %
Lithuania,2008,Carbapenems,53,0,0,53,100.0 %,0.0 %,0.0 %
Lithuania,2009,Carbapenems,64,0,0,64,100.0 %,0.0 %,0.0 %
Lithuania,2010,Carbapenems,43,0,0,43,100.0 %,0.0 %,0.0 %
Lithuania,2011,Carbapenems,19,0,0,19,100.0 %,0.0 %,0.0 %
